isoform	gene	ERR000001	ERR000002	ERR000003	ERR000004	ERR000005	ERR000006	ERR000007	ERR000008
NM_201555,NM_001039492,NM_001318894,NM_001318896,NM_201557,NM_001318895,NM_001450	FHL2	7.54047	7.289449999999999	6.365163000000001	17.961440000000003	4.615176999999999	8.43185	6.654578	7.03304
NM_001318899	FHL2	7.09571	0.0	0.0	8.19311e-05	1.27562	6.237	0.0	0.0
NM_001318897,NM_001318898	FHL2	0.000353988	0.0	0.0	2.72796	3.16364e-07	0.0	0.0	0.0
NM_001004720,NM_003581	NCK2	3.64162	5.20284	4.08224	4.97886	10.06494	4.00298	10.4546	5.87394
NM_001004722	NCK2	28.3443	19.3875	18.4882	20.5943	13.8466	23.6122	15.4096	12.0157
NM_032411	ECRG4	34.1127	4.53403	2.22139	27.1819	9.69579	53.3246	12.3947	5.39071
NM_025076	UXS1	20.7109	29.2675	25.971	32.3456	37.4044	24.1204	30.1174	42.7704
NM_001253875	UXS1	19.9498	17.3239	6.27025	9.94309	6.01616	10.2166	7.80705	13.9736
NM_001253876	UXS1	12.2557	5.74974	10.7625	7.66875	2.83493	12.0828	0.947984	4.76799
NM_001144013	RGPD3	0.0	0.0	0.0694314	0.0	0.0	0.0	0.0	0.17907
NM_001368307	CD8B2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001349727	CD8B2	0.0	0.0	0.0	0.0	0.203528	0.0	0.350288	0.0345376
